Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;;;;;3;5;3;;;;;;;1;;P
2;2;3;3;6;6;4;1;3;1;1;2;2;3;1;5;P
3;2;;7;7;;7;;;1;;;;5;;5;P
4;2;;;7;7;7;;;1;;;;5;2;6;P
5;2;3;3;7;2;4;4;2;1;2;2;1;5;1;5;P
6;1;3;3;3;3;3;3;3;3;3;3;3;3;2;5;P
7;1;5;5;5;5;2;2;2;1;2;2;2;5;1;4;P
8;2;2;3;5;2;4;4;;2;2;2;6;6;2;4;P
9;1;4;4;4;4;4;4;4;4;4;4;4;;2;1;P
10;1;1;1;4;5;6;2;1;1;1;1;5;5;2;1;P
11;2;1;1;1;1;1;4;6;7;3;6;4;;2;4;P
12;1;3;3;3;3;3;3;3;1;3;3;3;6;1;3;P
13;1;1;4;5;1;5;1;4;2;1;0;5;5;1;1;P
14;2;1;1;1;1;5;6;1;1;1;1;4;6;2;4;P
15;2;2;2;3;5;4;3;7;5;2;2;7;7;1;5;P
16;2;1;1;1;1;7;1;1;1;1;1;1;5;2;6;P
17;2;1;1;1;1;7;6;1;1;1;1;1;6;1;6;P
18;1;2;4;4;2;1;1;2;1;4;7;4;10;2;4;P
19;1;1;6;5;7;5;1;3;1;3;1;3;5;1;5;P
20;1;0;0;6;5;6;2;3;1;5;0;0;3;2;4;P
21;1;0;0;4;0;4;3;0;1;0;0;0;3;1;4;P
22;1;2;5;2;5;5;2;5;1;3;3;3;5;2;4;P
23;1;0;5;4;4;4;2;2;1;1;1;3;5;1;3;P
24;1;7;4;7;1;1;1;1;1;1;1;1;3;1;5;P
25;1;1;3;5;1;7;6;4;1;1;4;6;5;1;6;P
26;1;1;1;1;1;5;1;1;1;1;1;1;5;2;4;P
27;2;1;1;1;1;1;7;4;1;3;3;4;6;1;6;P
28;1;0;0;7;0;0;0;0;0;0;0;0;3;2;5;P
29;1;1;1;3;1;5;1;7;5;0;0;0;5;1;2;P
30;1;4;4;5;5;3;1;0;1;0;0;0;3;2;2;P
31;2;3;3;3;5;5;1;2;1;0;0;3;5;1;5;P
32;2;2;3;2;5;5;6;2;2;2;2;2;6;1;6;P
33;1;4;4;6;4;6;5;5;6;6;4;4;3;1;4;P
34;1;1;1;1;1;7;1;1;1;1;1;1;5;2;2;P
35;2;;;;;;;;4;;;;8;2;1;P
36;1;0;0;5;5;4;7;6;5;6;6;5;6;2;7;P
37;1;;;;;;;;7;;;;8;2;2;P
38;2;2;2;2;1;5;3;1;1;1;2;2;5;2;5;P
39;2;1;1;3;5;5;5;0;1;0;0;1;6;1;2;P
40;2;2;2;2;4;7;5;4;1;1;1;3;5;1;6;P
41;2;5;1;6;2;1;4;6;5;6;6;6;3;2;1;P
42;2;0;0;2;2;2;4;0;4;0;0;0;;1;1;P
43;;7;7;7;;7;1;1;1;1;1;1;5;1;5;P
44;2;2;2;5;5;5;6;2;4;2;2;2;6;1;3;P
45;1;1;2;1;3;3;5;1;1;2;2;5;6;2;6;P
46;2;3;3;1;5;7;1;1;1;2;2;4;5;2;6;P
47;2;1;1;1;1;2;2;5;7;7;1;2;;2;4;P
48;2;0;0;0;0;0;0;0;0;0;0;0;5;1;4;P
49;;4;;5;4;7;6;;1;3;0;7;5;1;4;P
50;2;4;6;6;7;4;1;1;1;2;4;1;5;1;4;P
51;1;1;1;0;4;1;1;1;1;1;1;1;3;2;5;P
52;2;4;4;4;4;4;7;4;4;4;4;4;6;1;6;P
53;2;4;4;4;4;6;1;1;1;0;0;0;5;2;6;P
54;1;3;3;4;3;5;6;5;3;2;3;2;6;2;4;P
55;1;0;0;6;3;3;1;1;7;4;3;4;8;1;3;P
56;2;;;;7;;;;;;;;4;2;;P
57;;1;1;1;1;7;7;1;1;1;1;1;6;1;4;P
58;2;2;2;7;7;7;1;1;1;1;1;3;3;2;6;P
59;2;0;7;0;0;7;7;7;0;0;0;0;7;;6;P
60;;7;7;7;3;3;3;1;1;1;1;6;3;1;6;P
61;1;1;0;1;1;4;3;0;2;0;0;0;;1;3;P
62;2;6;0;7;5;6;3;4;7;0;3;0;6;1;4;P
63;2;4;4;5;5;6;1;2;1;3;2;6;5;1;4;P
64;1;0;1;1;3;3;7;3;3;1;1;4;6;1;3;P
65;1;4;1;4;1;3;5;6;4;1;1;1;6;2;2;P
66;2;1;2;1;2;1;1;1;5;1;1;3;8;1;1;P
67;2;0;5;6;5;1;1;0;1;0;0;0;3;1;1;P
68;1;5;5;7;6;5;2;3;1;2;4;5;3;2;4;P
69;1;3;2;3;5;5;7;5;3;2;2;4;6;1;6;P
70;1;0;0;0;0;0;0;0;0;0;0;0;8;2;1;P
71;2;0;0;5;6;6;5;3;1;0;0;4;4;2;1;P
72;;4;4;5;6;3;2;1;1;5;3;5;4;2;4;P
73;1;1;1;1;1;5;5;3;2;1;1;1;8;1;1;P
