Bogen;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;1;1;2;3;5;4;3;1;2;2;2;5;2;6;P
2;0;1;4;4;1;1;4;4;0;0;0;8;1;4;P
3;0;0;3;3;5;2;4;1;0;0;0;5;1;2;P
4;4;3;;4;6;6;3;5;4;2;3;5;1;5;P
5;4;6;6;3;3;2;1;1;2;3;3;3;2;1;P
6;0;0;1;0;1;1;1;0;0;0;0;8;1;2;P
7;1;1;1;1;1;0;1;0;1;1;1;6;2;4;P
8;2;1;1;1;2;5;1;1;3;4;4;6;2;3;P
9;3;3;3;3;3;3;3;3;3;3;3;4;2;3;P
10;3;1;2;1;6;2;2;1;3;3;4;5;1;3;P
11;;;7;;;;;;;;;3;2;5;P
12;6;6;7;5;3;1;2;1;1;1;3;3;2;5;P
13;1;1;1;2;2;7;3;3;3;2;2;6;2;5;P
14;1;1;1;1;4;4;1;1;1;1;1;5;1;3;P
15;2;2;6;4;3;1;5;1;2;2;2;3;2;2;P
16;5;7;7;3;1;1;1;1;1;1;1;3;2;4;P
17;1;1;1;1;4;7;1;1;1;1;1;6;1;6;P
18;1;1;1;1;1;1;1;7;1;1;1;8;2;4;P
19;2;5;5;3;1;1;5;7;1;2;7;8;1;1;P
20;1;1;4;1;1;1;7;6;1;1;1;7;1;2;P
21;2;1;1;1;3;5;2;1;1;4;1;6;2;3;P
22;0;0;0;0;0;1;5;0;0;0;0;7;2;2;P
23;1;1;;1;1;7;3;1;1;2;3;6;2;5;P
24;1;1;1;1;4;4;1;1;1;1;1;6;2;6;P
25;3;3;4;5;;;5;;;5;;8;2;2;P
26;1;7;7;3;3;1;0;1;0;0;0;3;2;1;P
27;1;1;1;1;3;5;4;4;1;1;5;6;2;4;P
28;3;5;4;5;5;5;4;;4;4;4;6;1;4;P
29;4;3;2;6;7;1;6;1;5;4;4;5;1;2;P
30;6;6;6;6;6;;3;6;6;6;6;8;1;4;P
31;2;2;5;3;2;2;2;6;2;2;2;8;1;1;P
32;0;0;;4;4;5;4;1;3;1;5;5;2;4;P
33;1;1;1;3;7;6;4;5;1;1;1;5;1;3;P
34;1;1;1;1;1;6;1;7;1;5;1;8;1;2;P
35;0;5;5;6;1;1;1;1;1;1;3;4;1;2;P
36;1;1;1;1;7;1;1;1;1;1;1;5;2;6;P
37;2;2;3;1;7;5;1;2;2;1;2;5;2;1;P
38;0;3;2;2;5;2;2;1;3;2;3;5;2;2;P
39;1;1;1;1;5;6;1;3;1;1;1;6;1;4;P
40;0;1;1;1;4;6;1;1;1;1;1;6;1;3;P
41;2;1;1;1;3;5;2;1;1;4;1;6;2;3;P
42;2;2;1;3;4;7;6;2;1;1;1;6;2;1;P
43;4;4;5;;2;1;1;1;1;1;1;3;1;2;P
