Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;;0;7;7;4;6;1;3;1;0;0;0;3;1;1;R
2;;1;1;;;;;1;;1;1;1;6;1;7;R
3;;1;1;2;1;1;2;2;2;2;2;1;9;2;5;R
4;;6;6;0;7;1;1;4;1;4;0;4;3;1;4;R
5;;5;5;7;4;1;1;1;1;1;1;2;3;2;4;R
6;;6;6;6;6;6;1;6;1;2;2;5;4;1;3;R
7;;5;5;5;5;5;3;4;1;4;2;5;3;2;3;R
8;;2;2;5;3;5;2;2;1;2;3;6;11;2;4;R
9;;1;1;1;3;5;3;5;1;1;1;5;4;2;3;R
10;;0;7;4;6;2;1;1;1;1;1;2;3;1;2;R
11;;0;2;5;0;0;3;0;2;0;0;0;3;1;1;R
12;;2;2;1;3;2;1;5;6;5;5;5;;2;3;R
13;;4;1;;5;;1;4;1;4;1;5;5;2;5;R
14;;;;;;;;;;;;;5;1;5;R
15;;3;1;2;3;4;1;1;1;1;1;1;5;1;2;R
16;;4;3;6;3;4;3;3;3;3;2;2;3;1;3;R
17;;3;;2;3;7;1;1;1;1;1;3;5;1;6;R
18;;7;1;7;7;6;1;3;1;1;1;7;11;2;6;R
19;;1;1;1;1;1;1;1;1;1;1;1;;1;1;R
20;;1;1;1;1;1;1;1;1;1;1;1;;2;4;R
21;;3;3;3;3;3;3;3;3;3;3;3;;2;4;R
22;;5;5;7;7;3;1;2;1;6;0;5;3;2;5;R
23;;0;1;1;;0;0;0;0;0;0;0;;2;6;R
24;;3;3;3;7;2;1;2;1;1;1;3;3;2;5;R
25;;1;1;1;1;3;4;5;7;4;1;1;8;1;4;R
26;;1;1;2;2;4;4;5;5;1;1;3;8;2;4;R
27;;1;1;1;1;5;6;5;6;2;1;5;8;2;2;R
28;;1;1;2;4;5;5;5;5;5;5;5;6;2;5;R
29;;1;1;1;1;2;2;1;1;1;1;1;6;1;5;R
30;;4;4;4;5;6;1;3;1;3;4;6;5;1;6;R
31;;0;0;6;5;6;2;2;1;0;0;0;5;1;1;R
32;;0;0;0;0;0;;0;0;0;;;5;1;6;R
33;;0;0;0;0;0;0;0;0;0;0;0;;;6;R
34;;1;3;3;3;3;3;3;1;3;3;3;5;2;7;R
35;;;;;;;;;4;;;;5;1;7;R
36;;2;6;6;7;2;1;1;1;1;1;1;4;1;1;R
37;;7;7;7;6;6;1;1;1;5;0;5;5;2;3;R
38;;3;2;3;2;5;2;3;1;1;1;7;11;2;3;R
39;;1;1;3;4;5;2;1;1;1;1;6;11;1;4;R
40;;1;1;1;1;1;1;1;1;1;1;1;;2;4;R
41;;4;4;4;4;4;1;4;7;4;4;4;8;1;3;R
42;;;;5;;6;;;;;;;3;2;6;R
43;;4;1;5;5;6;;2;1;1;1;1;5;1;3;R
44;;7;0;1;0;7;7;0;;0;0;0;;1;7;R
45;;1;3;1;3;1;1;7;7;0;4;3;8;1;1;R
46;;3;4;3;5;5;1;1;1;1;1;3;5;2;3;R
47;;3;3;4;5;5;1;1;1;1;1;3;5;1;3;R
48;;0;0;0;0;0;0;;7;;;;2;1;4;R
49;;0;;7;0;7;7;0;7;0;0;1;7;1;1;R
50;;4;5;3;5;4;1;1;4;3;1;6;5;1;3;R
51;;1;1;1;1;1;1;1;7;1;1;1;8;2;2;R
52;;4;1;1;1;1;1;1;7;1;1;1;8;1;1;R
