Bogen;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;2;4;1;6;6;1;1;1;1;1;1;5;1;4;P
2;6;7;7;4;3;1;2;1;1;1;1;3;2;5;P
3;2;3;6;6;6;1;3;1;2;2;2;5;1;2;P
4;4;5;2;2;7;1;3;1;4;4;4;5;1;3;P
5;1;4;4;4;7;1;1;1;1;1;4;5;2;6;P
6;1;1;4;4;4;1;1;1;1;1;1;5;1;1;P
7;1;1;1;1;7;7;3;6;1;1;1;6;1;1;P
8;0;0;5;4;1;1;1;4;3;4;5;10;2;5;P
9;1;1;1;1;1;7;1;4;4;1;1;6;1;4;P
10;1;1;1;1;7;7;1;7;;1;1;;1;4;P
11;1;1;3;2;2;7;;1;1;1;1;6;1;1;P
12;1;1;1;1;1;1;1;1;1;1;1;;2;1;P
13;1;3;4;4;5;3;2;1;1;1;2;5;2;6;P
14;;;;;;;;;;;;;1;7;P
15;1;1;1;1;4;4;0;7;;0;4;8;1;1;P
16;1;1;5;1;5;1;;;1;1;1;8;1;6;P
17;1;1;7;1;1;1;1;1;1;1;1;3;1;4;P
18;0;0;0;7;5;7;5;0;0;0;0;8;1;4;P
19;0;0;0;1;1;1;1;1;1;1;1;3;2;4;P
20;1;1;4;3;;;;2;;;;6;1;6;P
21;;;;;;;0;;;;;8;2;4;P
22;5;6;7;4;1;1;1;1;1;1;3;3;1;1;P
23;0;0;4;0;3;2;3;3;0;0;0;3;1;4;P
24;2;4;4;4;1;1;4;2;5;4;5;10;2;1;P
25;0;0;5;3;1;1;0;5;0;0;0;3;1;2;P
26;4;4;4;4;4;4;4;4;4;4;4;8;1;2;P
27;7;7;7;0;0;1;0;1;0;0;0;3;1;3;P
28;1;1;1;4;7;7;4;1;1;4;3;5;2;4;P
29;1;0;0;1;0;1;0;0;1;0;1;8;1;3;P
30;0;0;1;1;3;6;1;4;1;1;3;6;1;6;P
31;4;7;7;7;1;1;3;1;3;3;3;3;1;6;P
32;1;1;1;1;0;7;7;1;1;1;1;5;1;2;P
33;7;1;1;7;1;1;1;7;1;1;4;8;2;5;P
34;3;4;6;7;5;1;4;1;0;0;3;5;2;6;P
35;0;1;1;1;2;5;5;3;0;0;0;6;1;3;P
36;0;0;4;4;0;0;0;0;0;0;0;5;2;1;P
37;4;7;7;5;1;1;4;1;5;5;5;3;1;2;P
38;4;5;7;5;1;1;2;1;4;4;1;3;2;6;P
39;1;1;1;1;3;3;0;0;1;1;1;8;1;2;P
40;4;1;5;5;7;1;1;1;1;1;1;5;2;4;P
41;1;1;1;1;6;4;1;7;1;1;1;8;1;3;P
42;1;1;2;1;6;1;1;4;1;2;0;11;2;3;P
43;7;7;7;7;7;1;1;1;1;1;1;3;1;6;P
44;2;2;2;3;4;;4;2;3;3;2;5;2;3;P
45;1;1;1;1;1;7;1;1;1;1;1;6;1;6;P
46;1;1;1;2;2;7;4;1;4;4;4;6;1;6;P
47;0;2;3;3;7;3;3;1;3;3;3;5;1;4;P
48;0;0;0;0;0;0;0;0;0;0;0;;1;6;P
49;0;0;0;0;0;0;0;1;0;0;0;8;1;3;P
50;0;0;0;0;0;0;0;0;0;0;0;;1;3;P
51;3;3;1;3;6;5;7;1;1;1;1;5;1;1;P
52;5;5;5;5;5;5;5;5;5;5;5;8;1;4;P
53;0;0;0;0;0;0;0;0;0;0;0;;2;5;P
54;1;1;3;1;1;1;4;0;1;1;1;8;1;2;P
55;1;4;5;3;4;1;2;1;1;1;1;3;2;4;P
56;3;3;3;1;1;7;0;3;3;3;3;7;2;6;P
57;0;3;4;1;1;1;7;7;3;7;3;10;1;2;P
58;0;4;4;1;4;1;;3;4;4;2;;2;2;P
59;1;1;1;3;6;2;1;1;1;1;1;5;1;1;P
60;1;1;3;3;6;5;4;4;2;3;5;6;2;6;P
61;1;1;1;1;4;1;1;4;1;1;1;;2;4;P
62;0;0;4;3;3;3;5;1;0;0;3;7;2;3;P
63;1;3;1;1;1;1;7;5;3;2;2;7;1;1;P
64;1;1;1;1;4;7;4;1;1;1;1;6;1;6;P
65;3;3;3;4;4;1;;4;3;3;3;8;1;4;P
66;3;3;4;4;3;3;4;4;3;4;4;6;1;6;P
67;1;1;1;1;0;0;1;0;2;2;2;6;1;4;P
68;0;0;4;4;5;;4;4;3;2;3;;1;6;P
69;2;1;2;2;5;6;5;1;3;3;4;6;2;7;P
70;;;;;;7;;;;;;6;1;6;P
71;;;;;7;;;;;;;5;2;5;P
72;2;4;5;5;1;1;7;5;5;4;4;8;1;2;P
73;3;3;2;5;6;1;3;1;3;3;3;5;2;3;P
74;4;5;5;2;3;3;4;7;5;4;5;8;2;3;P
75;;;;;;;;;;;;5;1;6;P
76;7;7;7;7;5;7;7;7;7;7;7;5;2;4;P
77;7;7;7;7;7;7;7;7;7;7;7;7;2;4;P
78;0;0;4;1;1;1;6;6;0;0;0;8;1;3;P
79;;;;;;;;6;;;;8;2;6;P
80;;;;;;;;7;;;;8;;6;P
81;0;0;3;5;7;5;4;3;0;0;0;3;2;4;P
82;0;0;2;4;1;1;0;0;0;3;3;2;2;3;P
83;0;0;0;0;0;0;0;0;0;0;0;;2;4;P
84;;;;;;;;7;;;;8;2;5;P
85;4;4;4;4;4;4;4;6;4;4;4;8;2;3;P
86;2;2;3;3;6;3;2;1;2;2;2;5;1;4;P
87;0;0;0;0;0;7;7;0;0;0;0;6;1;5;P
88;;;0;1;1;1;;0;;;;3;1;5;P
89;;;;;;;0;;;;;7;1;6;P
90;1;1;1;1;1;1;1;1;1;1;1;;2;5;P
91;0;7;4;7;4;1;0;1;0;0;0;4;1;4;P
92;3;4;6;6;5;2;0;1;0;0;3;3;1;4;P
93;1;1;2;1;7;1;2;3;1;;5;5;2;3;P
94;3;3;3;3;7;2;1;1;1;1;1;5;1;5;P
95;4;6;7;1;1;4;2;4;4;4;4;3;1;1;P
96;1;1;4;2;2;1;2;1;1;1;4;3;1;3;P
97;6;6;4;6;6;1;1;1;4;2;4;5;1;4;P
98;0;0;3;5;4;7;7;7;7;7;7;;1;4;P
99;0;;;;;;;0;;;;8;1;4;P
100;1;1;4;4;6;3;1;3;1;1;1;5;1;5;P
