Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;1;3;4;4;4;4;4;1;1;4;4;4;5;1;3;P
2;;4;4;0;3;0;3;3;2;2;2;3;3;2;2;P
3;1;3;3;6;6;2;1;1;1;1;1;1;3;1;2;P
4;1;0;0;4;0;4;0;0;1;0;0;0;5;1;1;P
5;1;0;4;6;6;3;1;1;1;0;0;0;3;2;4;P
6;1;5;5;6;6;4;1;1;1;0;0;4;3;1;5;P
7;2;;;;;;0;;;;;;6;1;5;P
8;1;0;0;0;0;0;0;0;0;0;0;0;3;2;3;P
9;1;3;3;6;6;2;1;1;1;;1;1;3;1;6;P
10;1;4;4;4;4;3;1;1;1;1;1;2;;1;2;P
11;;4;5;7;6;1;1;3;1;5;3;5;3;1;4;P
12;1;4;4;4;6;7;1;2;1;4;4;4;5;1;2;P
13;1;5;5;7;5;2;1;3;1;4;1;4;3;2;2;P
14;1;2;5;7;5;1;1;0;1;0;0;1;3;2;1;P
15;;6;6;7;7;5;1;4;1;0;0;6;3;2;2;P
16;1;7;7;7;5;1;1;2;1;3;6;5;3;1;2;P
17;1;6;6;6;5;1;1;3;1;2;3;3;3;2;2;P
18;1;3;3;3;7;2;1;1;1;2;2;3;4;1;4;P
19;2;7;7;7;7;1;1;1;1;1;1;1;;1;2;P
20;1;4;4;5;7;6;1;2;1;2;3;5;5;2;3;P
21;2;1;1;6;6;1;1;1;1;1;1;1;3;1;2;P
22;2;5;5;7;5;1;1;1;1;2;3;2;3;2;1;P
23;1;7;7;7;7;5;1;3;1;1;1;5;3;2;7;P
24;;;;;;7;;;;;;;5;2;6;P
25;1;0;5;7;6;4;1;0;1;0;0;0;3;1;2;P
26;1;3;5;5;3;1;1;2;1;4;4;5;3;2;2;P
27;1;1;3;2;2;7;3;2;1;2;2;2;5;1;6;P
28;1;5;5;4;6;3;1;2;1;1;1;1;4;1;1;P
29;1;0;2;4;4;7;2;0;1;1;0;0;5;2;5;P
30;1;4;4;7;7;5;1;1;1;2;2;4;3;1;2;P
31;1;0;1;5;1;5;1;0;5;0;0;7;4;2;2;P
32;1;1;1;7;1;1;1;1;1;1;1;1;3;1;4;P
33;1;0;0;7;0;0;0;0;0;0;0;0;3;2;3;P
34;1;3;4;5;7;3;1;1;1;0;0;2;4;1;1;P
35;1;;;6;5;3;1;;1;;;1;;1;1;P
36;1;1;1;1;3;3;4;3;5;3;1;0;8;2;2;P
37;1;3;5;6;5;4;3;3;1;2;2;2;3;2;4;P
38;2;4;0;6;6;3;2;0;1;0;0;0;3;1;2;P
39;1;5;6;7;5;2;1;1;1;1;1;1;3;2;3;P
40;1;4;5;6;6;5;1;2;1;1;2;2;3;1;3;P
41;1;0;7;7;6;1;1;1;1;1;1;1;3;2;2;P
42;1;4;5;7;7;2;1;1;1;3;1;2;3;1;3;P
43;1;1;1;3;4;4;1;1;1;3;4;3;5;2;2;P
44;2;2;4;2;6;7;1;2;1;0;1;1;4;2;1;P
45;1;5;4;4;7;2;1;1;1;0;3;0;4;1;1;P
46;1;5;7;5;5;1;1;3;1;2;2;4;3;2;3;P
47;;7;7;7;7;1;1;1;1;4;4;4;4;1;2;P
48;1;1;4;6;4;2;1;4;1;2;3;3;3;2;3;P
49;1;7;7;7;7;1;1;1;1;1;1;1;3;1;2;P
50;1;6;6;6;6;5;1;0;1;0;0;0;5;1;6;P
51;1;;7;7;7;3;3;2;1;;;4;3;1;5;P
52;1;2;2;6;6;3;1;2;1;0;2;3;3;1;3;P
53;2;5;5;5;5;3;1;2;1;5;5;5;4;1;4;P
54;1;0;6;4;6;4;1;1;1;3;0;0;4;1;3;P
55;1;;;7;;;;;;;;;3;1;4;P
56;1;4;4;0;0;2;1;1;1;1;1;1;3;1;2;P
57;1;3;7;5;5;3;1;2;1;4;6;6;2;1;5;P
58;1;;;0;0;;;;;;;;3;1;4;P
59;2;6;6;6;7;6;1;4;1;4;4;7;5;1;4;P
60;1;5;5;6;6;3;1;1;1;1;1;1;3;1;5;P
61;1;3;5;6;5;6;1;3;3;4;3;3;5;1;3;P
62;1;4;6;6;3;6;2;3;1;0;0;5;;1;3;P
63;1;2;4;2;5;7;1;1;1;1;1;4;5;1;2;P
64;1;5;6;6;3;1;1;1;1;3;3;1;3;2;5;P
65;1;4;5;7;6;2;1;1;1;3;2;4;3;2;3;P
66;1;1;2;3;2;6;6;3;4;1;1;1;;1;6;P
67;1;4;4;1;6;1;1;1;1;1;1;3;4;2;3;P
