Bogen;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;1;1;2;1;1;3;4;7;1;5;6;8;2;4;P
2;1;1;1;1;5;1;1;1;1;1;1;5;1;4;P
3;1;;3;2;2;1;2;4;;1;;;1;2;P
4;2;2;4;4;4;1;1;1;1;1;4;;1;4;P
5;3;5;5;5;5;2;3;2;3;4;3;5;1;2;P
6;1;0;1;0;0;3;5;1;0;0;0;7;1;3;P
7;6;6;7;6;4;1;1;1;0;0;0;3;2;2;P
8;2;1;2;2;4;5;3;2;2;2;2;6;2;6;P
9;1;3;2;4;6;2;3;1;4;3;4;5;2;2;P
10;1;1;7;7;;7;0;1;7;0;0;7;2;4;P
11;5;6;7;6;4;1;1;1;1;1;;3;1;2;P
12;2;2;2;2;2;2;2;2;2;2;2;;2;4;P
13;4;4;0;3;7;1;1;1;1;1;1;5;1;4;P
14;0;5;6;5;5;1;0;1;0;0;0;3;1;3;P
15;3;6;4;5;5;1;3;4;4;3;3;5;2;2;P
16;0;0;0;0;0;0;0;0;0;0;0;8;1;5;P
17;2;4;1;5;7;1;2;1;3;3;1;5;1;2;P
18;7;3;2;4;7;7;6;7;7;5;5;;2;2;P
19;5;5;6;6;1;1;3;1;0;0;0;4;1;3;P
20;4;1;5;7;5;1;4;1;2;2;4;4;1;5;P
21;1;1;1;1;0;0;0;;;;0;6;1;5;P
22;0;0;0;0;0;1;0;1;0;0;0;5;1;4;P
23;0;1;1;1;5;0;4;1;0;0;0;6;1;3;P
24;1;1;1;2;3;6;3;1;4;1;5;6;2;4;P
25;1;1;1;1;1;1;1;1;1;1;1;;1;4;P
26;7;4;6;5;4;1;2;4;4;3;2;3;1;2;P
27;0;0;0;0;0;0;0;1;0;0;0;3;2;1;P
28;4;1;1;4;7;4;1;1;1;1;1;5;2;3;P
29;1;1;1;4;7;5;4;3;2;1;1;5;2;4;P
30;0;3;5;5;4;5;5;1;0;0;0;5;2;3;P
31;1;2;1;1;1;1;2;7;2;1;5;8;1;6;P
32;4;1;;6;7;;;3;5;0;0;5;2;3;P
