Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;4;1;1;3;;7;7;3;2;3;1;4;6;1;2;P
2;3;4;0;0;0;0;1;0;;3;4;4;7;2;4;P
3;5;1;3;3;5;5;1;1;1;1;1;1;5;1;3;P
4;3;0;6;1;0;1;7;0;1;0;0;0;6;1;1;P
5;3;1;5;6;5;1;1;1;1;1;4;4;3;2;2;P
6;3;1;1;5;2;4;5;1;1;1;1;1;3;2;2;P
7;3;1;1;1;1;7;1;1;1;1;1;1;5;2;3;P
8;5;0;;;;;;;;;;;6;1;5;P
9;5;2;2;2;2;7;5;2;2;2;2;2;5;1;5;P
10;3;3;3;6;4;4;1;2;1;1;1;1;3;2;3;P
11;5;1;1;7;7;4;1;1;1;3;1;1;3;1;4;P
12;4;4;5;6;7;6;4;5;2;6;4;4;4;2;5;P
13;3;;;0;;;;;1;;;;3;2;6;P
14;3;2;2;3;3;5;1;1;1;1;1;3;5;1;5;P
15;3;1;1;1;1;1;6;7;7;4;5;3;8;2;2;P
16;5;4;3;3;2;5;2;4;1;2;2;1;5;1;3;P
17;3;;3;7;7;6;6;3;1;0;0;0;4;2;3;P
18;3;3;6;7;4;3;1;0;1;0;0;4;3;1;1;P
19;4;3;5;6;6;3;1;3;1;3;3;5;3;2;2;P
20;4;1;1;3;2;3;1;2;2;4;3;5;11;1;4;P
21;5;1;1;3;6;3;1;1;1;1;1;1;4;1;5;P
22;5;1;1;1;6;6;4;1;1;1;1;1;5;1;5;P
23;4;4;5;6;3;1;1;3;1;3;3;2;3;2;1;P
24;4;1;3;7;6;1;1;2;1;4;5;5;3;2;3;P
25;5;0;0;7;7;7;0;0;1;0;0;0;;1;3;P
26;3;4;5;7;6;1;1;5;1;2;5;5;3;2;1;P
27;5;0;7;5;4;1;1;0;1;4;4;0;3;1;3;P
28;3;1;3;6;4;6;2;1;3;2;2;2;3;2;2;P
29;4;6;5;6;0;6;6;6;0;0;0;0;;1;2;P
30;3;0;0;0;0;0;1;1;1;1;1;0;2;2;5;P
31;5;1;4;0;0;0;1;3;1;1;1;1;3;2;2;P
32;3;4;2;5;6;7;1;3;1;3;3;4;5;2;3;P
33;5;1;1;2;1;6;1;1;1;1;1;1;5;2;5;P
34;4;;;;;7;;;;;;;3;;5;P
35;3;0;0;4;0;2;2;0;1;0;0;3;3;2;1;P
36;4;1;1;2;1;2;2;1;1;1;1;1;3;1;2;P
37;4;0;0;0;0;0;0;2;0;0;0;0;3;2;1;P
38;3;0;0;5;6;5;2;0;2;0;0;0;5;2;2;P
39;3;2;1;6;5;6;1;1;1;1;1;2;5;2;1;P
40;4;0;0;0;0;0;0;0;0;0;0;0;;;;P
41;5;5;5;5;5;1;1;1;1;0;0;0;3;2;3;P
42;4;1;1;5;7;3;;;1;1;1;1;4;1;5;P
43;4;7;;7;;;;;;;;;5;2;4;P
44;4;4;4;7;4;2;1;3;1;0;5;0;3;2;3;P
45;4;2;5;5;6;6;1;2;1;2;1;2;5;2;5;P
46;3;1;6;4;6;6;1;1;1;1;1;1;5;2;3;P
47;4;4;7;7;5;7;1;1;1;1;3;4;5;2;3;P
48;4;1;6;4;3;6;1;1;1;1;0;3;5;1;5;P
49;4;1;1;1;1;1;;;1;1;1;0;6;2;5;P
50;3;1;1;2;3;1;7;3;3;1;1;1;6;2;6;P
51;4;7;;;;;;;;;;;3;1;7;P
52;5;4;4;6;7;7;1;1;1;3;1;2;3;2;4;P
53;4;1;3;1;1;7;1;1;1;1;1;5;5;2;5;P
54;4;1;2;3;2;6;4;4;1;2;1;2;5;1;4;P
55;4;1;1;3;3;6;3;1;1;2;2;2;5;2;5;P
56;3;5;5;5;7;6;2;3;1;3;3;4;5;2;5;P
57;5;1;1;7;1;1;1;1;1;1;1;1;3;2;4;P
