Bogen;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;1;1;4;5;7;1;1;1;1;1;1;5;1;6;P
2;1;1;4;5;7;1;2;2;2;2;2;5;1;3;P
3;1;1;5;5;7;1;1;1;1;1;1;5;1;6;P
4;1;1;2;1;6;6;6;1;2;3;2;5;2;5;P
5;1;3;3;1;6;1;2;1;2;2;1;5;2;5;P
6;0;0;7;7;4;7;7;2;4;7;7;5;1;3;P
7;1;6;4;3;6;1;4;1;2;0;5;5;1;6;P
8;4;5;2;4;6;2;5;1;2;4;3;5;1;4;P
9;1;1;5;1;7;1;2;1;1;1;4;5;2;3;P
10;1;1;2;3;6;7;1;;4;2;5;5;2;4;P
11;0;0;6;7;7;1;1;1;0;1;0;5;1;2;P
12;3;3;1;4;7;4;3;1;2;2;2;5;1;3;P
13;4;4;5;2;7;1;1;1;2;2;1;5;;5;P
14;1;1;4;4;7;3;1;1;0;0;0;5;1;2;P
15;1;3;6;7;7;1;3;1;0;0;0;5;1;4;P
16;0;0;4;4;7;6;4;6;3;0;0;5;1;2;P
17;0;0;3;7;5;1;1;1;1;1;1;5;1;3;P
18;1;2;4;4;6;2;2;1;1;1;1;5;2;1;P
19;1;1;1;1;5;4;4;1;3;3;3;5;2;3;P
20;3;3;5;4;6;2;3;2;2;2;2;5;2;5;P
21;1;1;4;4;6;3;1;1;1;1;1;5;2;1;P
22;4;4;2;2;4;1;4;1;2;2;2;5;1;2;P
23;1;1;3;3;0;2;1;1;1;1;1;5;1;5;P
24;2;1;3;2;7;1;1;1;2;1;3;5;2;6;P
25;2;2;3;3;5;1;2;1;1;1;1;5;2;1;P
26;2;2;3;3;5;2;2;1;1;1;1;5;2;4;P
27;1;1;3;3;5;1;3;1;2;2;2;5;2;3;P
28;2;2;7;5;7;1;1;1;1;1;1;3;1;1;P
29;4;4;7;4;7;1;1;1;1;1;1;3;1;2;P
30;4;5;6;5;2;1;2;1;3;3;5;3;2;5;P
31;7;7;1;0;7;1;;1;1;1;1;3;1;6;P
32;0;5;7;7;1;1;0;1;0;0;0;3;1;1;P
33;0;5;5;4;1;1;0;1;0;3;0;3;1;2;P
