Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;2;4;4;1;7;1;1;0;1;0;0;0;4;1;5;P
2;1;;;7;;;;;;;;;3;1;4;P
3;2;0;0;2;0;4;6;0;4;0;6;0;6;2;3;P
4;4;4;4;2;1;2;1;2;4;2;4;4;1;1;3;P
5;2;4;4;4;4;4;4;4;4;4;4;4;3;2;1;P
6;1;3;5;4;6;7;1;4;1;3;2;1;5;2;1;P
7;4;1;1;4;3;1;3;4;5;1;1;6;11;2;1;P
8;2;;;7;;;;;;;;;;1;3;P
9;;4;5;7;5;4;1;2;1;3;5;3;3;2;2;P
10;;1;1;1;2;2;;2;0;;1;3;3;2;4;P
11;3;0;0;2;3;3;3;7;3;0;0;0;8;1;2;P
12;3;1;1;7;4;3;1;;6;0;0;0;3;1;1;P
13;3;1;1;1;1;1;1;1;7;1;1;1;8;2;2;P
14;2;3;5;7;6;1;1;1;1;1;1;1;3;1;2;P
15;1;1;1;7;1;;4;1;4;1;1;4;3;2;1;P
16;1;2;1;1;1;2;1;2;7;2;2;1;8;2;4;P
17;1;5;4;3;2;1;1;5;5;3;3;1;8;1;1;P
18;1;1;1;1;4;1;4;7;7;1;1;1;8;2;3;P
19;4;1;1;1;1;1;1;1;1;1;1;1;;2;5;P
20;3;4;4;7;5;7;4;4;1;1;1;1;3;1;1;P
21;2;1;1;1;1;4;4;6;4;0;0;0;6;1;5;P
22;4;0;7;7;0;0;0;0;0;0;0;0;2;2;3;P
23;4;1;1;6;1;5;4;1;4;1;1;1;3;2;1;P
24;1;4;5;5;5;5;1;1;1;0;0;4;5;1;3;P
25;4;0;0;5;5;5;2;0;1;0;0;0;4;1;3;P
26;3;4;1;3;3;2;6;6;4;0;0;0;6;1;2;P
27;4;;;;;;0;;0;;;;8;2;6;P
28;2;1;1;4;1;7;1;2;1;1;1;1;5;1;3;P
29;3;7;7;7;7;1;1;1;1;5;1;1;3;1;4;P
30;2;0;0;5;4;5;3;0;6;0;0;3;8;1;2;P
31;1;4;4;6;5;1;1;5;3;4;4;4;3;2;3;P
32;3;7;7;7;7;7;3;7;1;7;7;7;3;2;2;P
33;3;7;7;4;4;1;1;4;4;7;7;7;10;2;4;P
34;4;1;1;6;5;5;1;0;1;0;0;0;3;1;2;P
35;1;5;5;1;2;3;3;5;5;3;1;2;;2;1;P
36;2;1;1;1;1;7;6;5;7;1;1;1;5;2;3;P
37;1;5;6;6;2;2;2;2;1;2;2;2;3;1;5;P
38;2;3;3;4;4;4;1;6;1;0;0;0;7;1;1;P
39;2;1;2;5;4;1;1;2;5;1;1;3;8;2;1;P
40;1;;;;;4;5;;7;;;;8;1;4;P
41;4;0;0;7;7;7;6;0;7;0;0;0;3;1;2;P
42;1;4;4;4;4;4;4;4;4;4;4;4;9;2;2;P
43;2;0;;7;7;0;1;0;1;0;5;2;3;1;1;P
44;1;1;3;4;4;5;4;2;2;2;2;2;5;1;2;P
45;3;0;1;1;1;1;7;1;7;0;0;0;6;1;1;P
46;4;1;1;1;1;1;1;1;1;1;1;1;;2;3;P
47;1;1;1;1;1;5;2;2;1;1;1;1;5;1;5;P
48;4;0;0;3;1;1;1;;5;0;0;1;8;1;1;P
49;1;1;1;4;1;3;6;1;3;1;1;1;;1;2;P
50;1;3;3;3;3;6;6;3;2;3;3;4;6;2;4;P
51;4;0;3;3;3;4;5;3;3;2;2;2;6;2;2;P
52;4;1;1;;1;1;1;7;7;1;7;1;8;;5;P
53;3;1;1;1;1;1;1;1;7;1;1;1;8;1;6;P
54;3;1;1;4;4;7;0;4;1;1;1;1;6;1;5;P
55;1;5;5;3;6;7;4;3;6;4;2;5;8;1;3;P
56;1;2;2;6;4;;3;2;1;2;2;2;3;1;4;P
57;1;4;6;6;2;6;2;6;4;4;4;4;;1;4;P
58;;1;1;1;1;1;1;1;7;1;1;1;8;2;6;P
59;4;0;0;0;0;7;1;0;7;0;0;0;5;1;4;P
60;4;0;0;4;4;2;6;0;2;0;0;0;6;2;2;P
61;2;1;1;1;2;5;3;2;1;3;3;3;5;2;4;P
62;1;;7;7;;;1;;1;;;;5;1;3;P
63;1;1;1;1;1;1;1;7;7;1;1;1;8;1;2;P
64;1;0;1;1;0;0;0;1;1;1;1;1;5;1;6;P
65;4;1;4;5;1;1;1;1;7;1;1;1;8;1;3;P
66;1;1;1;1;1;1;2;2;0;1;1;1;8;2;1;P
67;3;;;;;;7;;;;;;6;2;7;P
68;1;1;1;1;1;1;1;1;7;1;1;1;8;1;1;P
69;1;3;5;;3;4;;4;3;5;0;4;5;2;2;P
