Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;2;4;6;6;6;6;1;4;1;3;3;4;4;1;1;R
2;2;1;1;1;3;4;4;5;1;2;3;4;7;2;4;R
3;2;1;1;1;1;1;1;1;1;1;7;1;10;2;4;R
4;2;0;0;5;0;1;1;5;2;0;7;0;10;2;1;R
5;2;1;1;1;1;1;1;7;7;1;1;1;8;1;1;R
6;2;0;4;6;4;5;1;0;1;0;2;5;3;2;1;R
7;2;2;4;7;5;2;1;2;1;1;1;1;3;2;2;R
8;2;4;4;7;4;3;1;1;1;1;1;1;3;1;2;R
9;2;2;5;6;5;6;1;2;1;1;1;5;5;1;3;R
10;2;0;0;0;0;7;1;7;7;;7;;5;1;4;R
11;2;6;3;7;7;5;1;1;3;1;1;1;4;1;3;R
12;2;1;1;1;1;7;1;2;1;1;1;7;5;1;4;R
13;2;4;4;3;2;1;1;3;5;3;6;2;10;2;2;R
14;2;0;0;3;0;3;3;3;7;3;0;0;8;1;3;R
15;2;4;5;6;5;1;1;2;1;4;4;0;3;1;2;R
16;2;2;1;1;2;3;6;6;2;0;0;6;6;1;4;R
17;2;3;3;1;3;7;1;1;1;3;3;3;5;2;2;R
18;2;1;1;1;1;1;7;4;4;0;2;3;6;2;1;R
19;3;0;7;1;;7;0;;1;0;0;0;5;1;1;R
20;2;1;1;1;4;3;1;1;3;6;6;1;;2;2;R
21;2;5;6;6;5;4;1;2;1;2;1;6;5;1;5;R
22;2;0;0;7;7;7;0;0;0;0;0;0;3;2;5;R
23;2;1;1;1;1;1;1;1;7;1;1;1;8;2;1;R
24;2;0;7;7;7;4;1;1;1;1;1;1;4;1;2;R
25;2;2;2;1;1;1;1;1;1;1;1;1;8;;5;R
26;2;1;1;1;1;1;7;6;5;1;1;5;6;2;5;R
27;2;1;1;3;1;6;7;7;7;5;5;3;8;1;5;R
28;2;5;4;5;5;6;1;5;1;2;1;4;5;2;5;R
29;2;3;2;2;4;1;1;4;2;5;3;4;;2;2;R
30;2;0;0;4;4;5;3;0;7;4;0;0;8;2;1;R
31;2;0;0;0;0;0;0;0;0;0;0;0;3;1;4;R
32;2;0;0;4;1;3;1;0;2;0;0;0;3;1;3;R
33;2;0;1;3;3;4;1;0;6;4;0;3;8;2;1;R
34;2;1;1;1;1;1;6;;7;1;1;1;8;1;3;R
35;2;0;0;0;0;0;0;0;0;0;0;0;3;1;3;R
36;2;1;1;1;1;1;1;1;1;1;1;1;7;1;4;R
37;2;3;3;4;4;7;1;2;1;1;;5;5;1;2;R
38;2;1;1;1;1;1;4;5;3;1;1;4;6;1;3;R
39;2;1;1;1;1;3;7;7;3;5;5;4;6;2;3;R
40;2;4;4;6;5;6;1;1;1;0;0;5;5;1;3;R
41;2;7;7;5;;3;1;4;5;4;3;5;;2;5;R
42;2;2;3;6;4;3;3;5;1;;0;4;3;1;1;R
43;2;1;1;2;6;4;7;4;3;2;3;1;6;1;1;R
44;2;0;3;5;5;6;3;0;2;3;1;7;5;2;2;R
45;2;4;6;1;4;1;4;4;1;2;2;2;;1;1;R
46;2;1;1;1;1;1;0;0;0;0;0;0;3;2;2;R
47;2;5;4;5;6;3;1;1;1;0;0;0;4;2;4;R
48;2;0;1;1;1;0;3;0;2;0;0;0;;2;3;R
49;2;0;0;0;0;0;0;0;0;0;0;0;2;1;2;R
