Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;2;4;4;;6;6;3;3;1;3;3;4;5;2;3;P
2;1;2;1;2;2;1;3;2;1;1;7;0;10;2;3;P
3;2;1;1;1;1;2;1;1;2;1;1;1;8;1;4;P
4;;3;1;3;7;5;1;1;1;1;1;1;5;1;5;P
5;2;1;7;7;1;1;1;1;7;1;1;7;8;2;3;P
6;2;4;4;4;4;4;;1;1;4;4;4;5;1;3;P
7;1;1;1;1;2;3;7;6;6;5;6;6;6;2;3;P
8;1;1;1;2;1;1;7;4;5;2;2;2;6;1;3;P
9;1;;;7;5;;;;;;;;3;2;7;P
10;;3;3;7;5;4;1;3;1;2;4;4;3;2;5;P
11;1;4;5;5;7;1;1;1;1;0;0;0;4;1;3;P
12;2;4;4;5;7;4;1;1;1;4;1;3;4;2;5;P
13;1;2;2;7;7;1;1;1;1;1;1;1;4;1;5;P
14;2;7;7;1;1;1;1;4;1;4;4;4;7;2;4;P
15;;1;1;1;1;;7;5;4;2;5;5;6;1;6;P
16;1;3;3;6;5;1;1;2;1;3;3;2;3;1;2;P
17;2;1;1;1;1;1;7;;1;2;2;2;6;1;2;P
18;2;1;1;1;1;4;4;5;7;3;4;2;8;2;3;P
19;1;;;;;;;;;;;;5;2;5;P
20;1;1;5;6;5;6;2;3;1;5;6;6;4;1;7;P
21;;;;;;;;;;;;;5;2;6;P
22;2;4;6;7;5;2;1;2;1;3;2;2;3;1;1;P
23;2;;;;;;;;1;;;;8;2;7;P
24;2;6;5;4;3;6;1;3;5;3;0;2;5;1;3;P
25;;;;;;;7;;;;;;5;;7;P
26;;;;0;;;;;;;;;3;2;7;P
27;2;0;7;2;0;3;4;5;4;0;0;0;6;2;3;P
28;1;;6;7;4;7;1;1;1;5;2;5;3;1;2;P
29;2;;;0;;;;;;;;;3;2;3;P
30;2;0;2;6;6;2;2;2;6;;1;1;8;1;2;P
31;;1;1;5;1;1;1;1;1;1;1;1;3;2;4;P
32;;1;0;0;0;2;1;0;1;1;5;0;7;1;6;P
33;2;0;0;4;4;5;3;0;1;0;0;0;5;1;3;P
34;2;4;5;7;4;2;1;1;1;3;1;2;3;1;2;P
