Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;2;0;7;7;4;1;1;;1;1;1;;3;2;2;P
2;2;2;1;6;3;6;2;2;2;2;6;3;5;1;1;P
3;3;1;1;1;1;2;5;7;7;1;1;1;8;2;1;P
4;1;0;0;0;0;0;0;0;0;0;7;0;10;1;4;P
5;2;0;0;7;0;0;0;0;0;0;0;0;3;1;3;P
6;3;0;0;6;6;1;1;3;1;1;6;1;3;2;1;P
7;3;0;0;0;0;0;0;0;0;0;0;0;3;1;6;P
8;3;1;4;4;1;7;1;4;1;3;4;3;5;2;2;P
9;2;1;1;5;2;5;1;3;1;1;1;1;5;1;3;P
10;3;;;0;;;;;;;;;3;2;5;P
11;2;3;5;7;2;2;1;5;1;5;4;6;3;1;1;P
12;;0;4;7;0;2;1;3;1;0;5;0;3;2;1;P
13;1;1;1;4;4;7;1;1;1;1;1;1;5;2;6;P
14;2;0;0;7;0;0;0;0;0;0;0;0;3;2;4;P
15;1;0;6;7;7;7;1;0;1;0;0;0;3;1;1;P
16;1;4;7;6;2;1;1;2;1;3;3;3;3;1;5;P
17;1;0;0;5;3;3;1;6;1;4;3;5;3;1;3;P
18;3;1;7;7;1;1;1;1;1;1;1;1;3;1;4;P
19;2;;;0;;;;;;;;;3;1;1;P
20;2;4;4;7;6;7;1;1;1;1;1;4;5;1;4;P
21;1;0;1;1;1;3;6;6;6;6;1;0;8;1;6;P
22;;4;4;7;6;;1;0;1;0;0;7;3;1;4;P
23;1;0;0;0;0;0;5;6;2;2;2;2;8;2;5;P
24;1;0;0;4;3;3;2;0;1;0;0;0;;1;2;P
25;;1;1;1;1;1;1;1;1;1;1;1;;2;6;P
26;1;5;5;5;5;4;2;2;1;0;0;0;3;1;4;P
27;1;0;0;6;1;7;3;0;1;0;0;0;5;1;3;P
28;3;0;2;3;1;1;1;2;1;1;1;1;3;1;3;P
29;1;0;0;0;0;0;0;0;0;0;0;0;3;2;2;P
30;2;7;1;7;1;1;1;1;1;1;1;1;3;1;3;P
31;2;0;4;4;7;3;1;1;1;0;0;0;4;1;1;P
32;2;3;3;4;4;0;;;;;;;5;1;3;P
33;3;2;4;3;5;6;1;2;1;2;2;4;5;1;2;P
34;2;1;7;7;4;6;5;4;1;1;1;1;3;2;4;P
35;1;1;1;0;0;1;0;0;1;0;0;0;;2;3;P
36;1;6;6;3;3;7;1;2;1;4;4;6;5;2;3;P
37;2;1;1;1;1;1;1;4;7;2;4;4;8;1;4;P
38;2;0;5;7;6;6;5;5;1;0;0;6;3;1;1;P
39;2;7;0;0;7;1;0;7;7;0;0;0;8;2;5;P
40;2;0;0;7;7;7;2;0;1;0;0;0;;1;1;P
41;1;2;5;7;2;4;7;3;1;4;4;4;3;1;2;P
42;3;7;;;;7;7;7;7;;0;0;;1;4;P
43;1;0;7;0;0;0;0;0;0;0;0;0;2;1;4;P
44;3;0;0;2;3;2;3;0;0;0;0;0;;2;3;P
45;1;0;0;0;5;5;2;2;1;1;1;1;5;2;3;P
46;2;0;0;0;0;7;0;0;1;0;0;0;5;1;1;P
47;2;7;7;1;3;7;7;7;7;7;7;7;;2;2;P
48;1;0;0;;0;7;0;0;0;0;0;0;5;1;5;P
49;1;4;5;3;;4;7;2;4;4;3;4;9;1;5;P
50;1;1;1;7;1;1;1;1;1;1;1;1;3;1;5;P
51;;0;0;5;;3;3;0;0;0;0;0;3;1;4;P
52;3;0;0;3;3;3;6;4;5;1;1;1;;1;2;P
53;2;1;7;1;1;1;1;1;1;1;7;1;2;2;1;P
54;;;;7;;;;;;;;;;;;P
55;2;5;5;6;5;6;2;4;1;3;4;4;5;2;2;P
56;2;1;1;4;7;5;0;0;0;4;2;6;5;1;4;P
57;1;1;1;7;;1;1;1;1;1;1;1;3;2;1;P
58;1;;;7;7;7;;;;;;;5;1;4;P
59;1;0;0;5;0;2;1;0;4;0;0;0;3;2;1;P
60;1;2;2;2;2;7;1;1;1;1;1;2;5;2;4;P
61;2;1;0;1;1;1;1;1;1;1;1;1;2;1;5;P
62;1;1;1;1;1;1;1;1;1;1;1;1;;2;2;P
63;2;0;0;7;7;7;7;0;1;0;0;0;3;2;1;P
64;3;3;3;2;2;1;1;3;7;4;3;3;8;1;3;P
65;3;0;0;1;1;0;0;1;0;0;0;0;8;2;6;P
66;2;4;4;5;5;5;5;4;1;4;4;4;5;2;3;P
67;2;0;0;0;0;0;0;0;0;0;0;0;6;1;6;P
68;2;0;0;0;0;0;0;0;0;0;0;0;8;2;1;P
69;1;1;1;7;1;1;1;1;1;1;1;1;3;1;3;P
70;;7;7;7;6;3;1;1;1;3;3;3;3;2;2;P
71;;0;0;0;0;0;0;0;0;0;0;0;;;;P
72;1;;;7;;;;;;;;;3;1;1;P
73;2;1;1;1;1;;7;1;4;1;1;1;6;1;5;P
74;2;3;5;6;2;2;1;4;6;4;0;0;3;1;2;P
75;3;4;4;7;4;3;1;3;3;4;4;4;3;1;2;P
76;1;0;0;0;0;7;0;0;7;0;0;0;8;1;1;P
77;;0;;7;0;7;0;;1;;0;0;;;;P
78;;2;2;7;2;1;1;2;1;0;3;3;3;2;5;P
79;3;0;0;0;0;0;0;0;0;0;0;0;4;1;2;P
80;2;1;1;7;7;1;1;1;1;1;1;1;3;1;1;P
81;3;;;;;0;;;;;;;5;1;1;P
