Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;1;1;2;6;6;5;1;6;1;2;2;2;3;1;5;R
2;1;1;1;6;3;7;3;1;6;1;1;1;3;2;6;R
3;;1;1;7;;7;1;;1;0;0;1;3;1;7;R
4;1;1;2;2;2;3;5;1;1;1;1;1;6;1;3;R
5;1;7;7;7;7;7;7;7;7;7;7;7;11;1;3;R
6;1;0;4;4;4;4;4;4;1;0;0;4;5;2;2;R
7;1;6;6;6;7;4;4;1;1;6;6;6;4;1;5;R
8;1;2;5;6;5;3;1;1;1;1;1;4;3;1;1;R
9;;1;1;1;1;1;1;1;1;1;1;1;2;1;5;R
10;1;3;3;5;5;6;1;3;1;0;0;4;5;1;2;R
11;1;1;1;2;1;1;1;5;2;1;1;1;7;1;6;R
12;1;1;;;;0;;;;;;;5;2;5;R
13;1;1;1;5;5;5;1;3;1;1;1;1;4;2;3;R
14;1;0;5;6;5;3;1;0;1;0;0;0;3;1;1;R
15;1;4;5;5;7;5;1;1;1;1;1;5;5;1;1;R
16;2;1;1;1;1;1;1;1;1;1;1;1;8;1;2;R
17;2;1;1;4;1;6;1;1;3;1;1;2;5;1;3;R
18;6;4;4;4;4;4;4;4;4;4;4;4;6;1;6;R
19;3;2;2;4;4;4;1;1;1;5;1;4;4;2;5;R
20;2;5;5;3;3;7;1;3;4;2;2;3;5;1;3;R
21;2;0;0;0;0;0;0;0;1;0;0;0;4;1;2;R
22;2;0;5;6;4;3;3;5;6;0;0;0;8;2;4;R
23;2;4;4;5;4;4;1;1;1;1;;4;3;1;4;R
24;5;;;6;6;5;1;;1;;;;3;1;4;R
25;3;1;1;4;4;7;7;1;7;1;1;1;5;2;5;R
26;5;1;1;1;1;1;7;7;1;1;1;3;6;1;5;R
27;3;2;4;2;6;5;4;3;1;7;3;7;5;2;3;R
28;3;7;7;7;4;4;1;4;2;4;4;5;3;2;3;R
29;2;1;4;6;7;1;1;2;1;2;2;2;3;1;3;R
30;5;3;4;7;4;5;1;1;1;1;1;1;3;1;3;R
31;4;1;1;1;7;1;1;1;1;1;1;1;5;2;1;R
32;6;4;4;4;7;4;1;3;;4;4;4;4;1;4;R
33;5;1;1;1;4;7;1;1;1;1;1;1;5;1;4;R
34;3;3;3;5;6;6;5;5;2;2;0;3;5;1;3;R
35;5;7;4;7;7;0;;;0;;;;5;2;2;R
36;6;;7;2;7;;1;5;1;1;7;2;10;2;4;R
37;6;5;5;5;4;5;2;1;1;4;4;4;3;1;2;R
38;2;3;6;6;4;1;1;4;6;4;2;6;8;1;2;R
39;6;0;0;0;0;0;0;0;0;0;0;0;8;1;1;R
40;3;3;1;6;4;5;1;1;1;1;1;1;3;1;3;R
41;3;1;2;2;5;5;1;2;1;1;1;3;5;2;5;R
42;6;2;2;4;4;7;1;4;1;1;1;5;5;1;4;R
43;2;4;4;7;4;1;1;1;1;1;1;7;3;1;3;R
44;6;5;1;3;1;1;1;5;7;7;7;7;;2;4;R
45;2;0;0;0;0;0;0;0;0;0;0;0;5;1;5;R
46;3;4;4;7;3;2;2;0;1;0;3;3;3;1;3;R
47;6;1;7;1;1;1;1;1;1;1;1;1;2;2;3;R
48;2;2;3;6;3;2;3;6;6;5;4;3;3;2;3;R
49;6;1;1;1;1;1;1;1;1;1;1;1;;2;2;R
50;6;1;1;4;1;1;1;1;1;1;1;1;3;1;1;R
51;5;4;4;4;2;6;1;1;1;2;3;3;5;1;3;R
52;6;2;3;3;6;4;1;1;1;2;2;2;4;2;4;R
53;6;7;7;5;5;1;1;1;1;3;3;3;3;2;2;R
54;2;5;5;7;7;4;1;2;1;2;1;4;3;2;3;R
55;4;0;5;7;3;1;1;3;1;3;3;3;3;2;1;R
56;2;;7;7;7;4;1;1;1;7;1;7;3;1;1;R
57;6;2;5;3;5;5;2;2;1;3;1;5;5;2;3;R
58;4;1;1;1;1;1;1;1;1;1;1;1;5;1;4;R
59;5;4;4;6;6;6;1;4;1;2;5;5;4;2;2;R
60;5;4;4;4;4;1;5;6;1;1;4;4;6;1;5;R
61;5;6;6;7;6;2;1;1;1;1;1;5;3;1;5;R
62;1;1;1;1;2;4;3;2;3;2;3;2;5;2;1;R
63;4;1;1;7;6;1;1;1;1;1;1;1;3;1;1;R
64;5;0;0;2;0;4;4;5;2;7;4;4;11;1;1;R
65;5;0;0;0;0;0;3;;1;0;0;0;6;1;4;R
66;6;0;4;6;3;5;1;1;1;0;0;0;3;1;2;R
67;6;4;4;3;6;4;2;1;1;4;4;4;4;1;2;R
68;5;7;;7;7;1;1;1;1;7;7;7;4;1;6;R
69;5;2;4;7;7;4;1;3;1;0;0;4;3;1;1;R
70;5;4;5;5;7;4;1;1;1;2;2;3;4;1;1;R
71;3;0;4;4;3;3;7;7;7;6;7;5;2;2;6;R
72;2;1;1;1;1;1;1;1;1;1;1;1;5;1;2;R
73;5;0;2;6;4;5;2;5;2;0;4;4;3;2;2;R
74;6;4;4;7;7;4;1;3;1;3;4;5;3;1;1;R
