Bogen;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;1;1;1;1;1;1;1;7;1;1;1;8;1;3;P
2;0;4;5;5;6;1;4;1;2;2;2;5;1;5;P
3;2;2;7;3;2;1;1;1;1;1;1;3;2;6;P
4;1;1;1;1;1;1;1;7;1;1;1;8;2;5;P
5;1;1;1;1;1;1;7;1;1;1;1;7;2;6;P
7;4;4;4;4;4;4;4;4;4;4;4;3;2;6;P
8;1;2;2;4;4;4;4;3;2;2;5;6;2;3;P
9;4;4;4;4;4;4;4;4;4;4;4;3;1;4;P
10;7;7;4;7;5;1;1;1;0;0;0;5;2;5;P
11;1;1;1;1;1;1;1;1;1;1;1;;2;4;P
12;3;3;6;4;2;1;1;1;1;1;3;3;2;2;P
13;4;4;4;3;3;4;3;4;4;6;4;10;1;5;P
14;3;3;7;7;3;1;1;1;1;1;2;3;2;2;P
15;0;7;7;0;0;0;0;0;0;0;0;3;2;6;P
16;1;4;3;2;1;1;1;2;1;6;1;10;2;2;P
17;0;1;6;3;1;1;6;1;6;4;7;5;2;2;P
18;0;4;6;5;4;1;4;1;0;0;1;3;1;2;P
19;0;1;5;7;2;0;0;0;0;0;1;6;2;7;P
20;1;1;1;2;7;4;5;2;1;1;3;5;1;1;P
21;1;1;1;1;4;1;1;4;1;1;1;5;1;7;P
22;2;4;5;6;7;2;4;1;2;1;1;5;2;1;P
23;3;3;7;5;6;1;0;;1;0;0;3;1;4;P
24;0;0;0;0;7;0;0;0;7;7;7;5;2;5;P
25;5;5;4;3;5;5;4;5;4;4;5;5;2;4;P
26;5;5;5;6;6;4;4;2;5;1;5;4;2;3;P
27;2;2;3;3;2;1;1;1;2;2;1;3;2;5;P
28;4;6;3;7;7;1;1;1;1;1;1;5;1;4;P
29;0;0;0;0;7;0;0;0;0;0;0;5;1;2;P
30;6;5;5;5;5;5;5;4;5;5;6;;1;4;P
31;1;1;6;1;6;1;1;1;0;0;1;5;1;2;P
32;7;7;1;4;3;1;7;1;1;1;1;5;1;3;P
33;3;3;2;6;7;1;4;1;2;4;5;5;1;6;P
34;4;4;6;2;2;7;4;7;4;4;4;4;1;4;P
35;1;1;0;1;4;1;7;4;0;0;4;7;1;4;P
36;1;1;4;2;5;2;1;1;1;1;1;5;1;4;P
37;0;1;1;5;6;1;7;5;0;0;7;8;2;1;P
38;1;4;7;1;1;1;1;1;1;1;1;3;1;2;P
39;4;5;4;4;5;1;1;1;3;2;4;5;1;5;P
40;7;7;7;6;3;1;1;1;6;1;3;3;2;5;P
41;4;4;5;5;7;2;2;1;2;2;2;5;2;5;P
42;1;1;3;3;7;6;1;1;0;0;0;5;2;6;P
43;0;3;5;2;4;3;4;1;2;2;1;3;2;1;P
44;4;4;4;4;4;4;4;4;4;4;4;;2;6;P
45;5;5;3;3;5;4;3;3;3;5;3;6;2;2;P
46;2;3;5;2;6;1;4;1;4;3;1;5;1;2;P
47;3;3;3;3;3;3;3;3;3;3;3;8;1;2;P
48;1;3;;2;4;1;3;7;1;1;1;8;1;4;P
49;1;4;1;4;6;1;5;7;0;0;4;8;2;4;P
50;1;3;5;5;5;1;2;1;0;0;0;5;2;1;P
51;0;0;0;0;7;0;0;0;0;0;0;5;1;7;P
52;0;0;0;0;7;0;0;0;0;0;0;5;2;6;P
53;2;2;6;3;5;2;4;1;2;2;4;3;2;2;P
54;4;4;6;6;5;1;2;1;4;4;3;3;1;2;P
55;6;6;7;6;5;1;1;1;5;5;4;3;2;5;P
56;0;6;7;4;5;1;0;3;5;0;0;3;2;1;P
57;1;1;1;4;4;6;5;2;2;2;2;6;1;5;P
58;1;1;1;1;1;1;1;7;1;1;1;8;1;4;P
59;0;7;7;;;1;0;1;0;0;0;3;2;1;P
60;1;4;1;4;6;1;1;1;1;1;1;5;2;2;P
61;0;0;0;0;0;0;0;0;0;0;0;;1;2;P
62;4;4;6;6;5;1;4;1;4;4;4;3;1;4;P
63;0;0;0;0;0;7;0;0;0;0;0;6;1;7;P
64;0;1;7;4;7;1;0;1;0;4;7;5;1;1;P
65;1;1;4;1;4;1;1;4;1;1;7;11;2;1;P
66;0;1;7;5;1;1;0;7;0;0;0;8;2;2;P
67;0;5;6;7;2;1;5;1;3;0;0;4;1;2;P
68;4;4;6;5;7;1;1;1;3;3;6;5;2;2;P
69;1;1;1;1;1;1;1;1;1;1;1;;2;5;P
70;4;4;4;2;2;2;2;2;2;2;2;3;1;3;P
71;1;1;7;4;5;7;1;1;1;1;4;6;2;6;P
72;3;2;6;1;1;1;2;4;0;6;5;3;1;3;P
73;5;6;6;4;4;3;0;1;0;0;0;3;2;2;P
74;3;3;3;3;3;3;3;3;3;3;3;5;1;2;P
