Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;1;6;7;7;7;1;1;2;1;2;2;1;3;1;2;P
2;2;1;1;1;1;1;4;4;;3;4;3;6;2;7;P
3;1;1;1;2;2;4;7;2;4;2;2;1;6;1;6;P
4;;1;2;1;1;4;6;4;3;4;2;4;6;2;7;P
5;;7;4;7;7;7;1;5;7;7;7;7;6;;4;P
6;1;1;1;1;1;1;7;2;1;4;2;5;6;1;4;P
7;1;1;1;1;1;2;7;2;1;1;3;5;6;2;4;P
8;;0;0;0;0;0;0;0;0;0;0;0;6;2;6;P
9;;1;2;1;4;4;7;7;4;4;4;1;6;1;6;P
10;1;1;1;1;4;4;7;2;1;1;1;1;6;2;4;P
11;2;1;1;1;;4;7;1;1;1;1;1;3;1;7;P
12;;7;7;7;7;5;1;1;1;1;1;1;;2;5;P
13;1;1;1;1;2;2;4;6;;4;4;7;11;1;6;P
14;2;4;5;5;5;5;1;1;1;1;1;7;11;2;2;P
15;2;1;1;4;4;6;5;4;6;3;1;7;11;;;P
16;1;4;4;5;7;3;1;1;1;2;1;1;4;2;3;P
17;2;1;6;1;7;5;1;3;1;3;3;4;4;1;1;P
18;2;1;4;4;0;1;1;1;1;1;1;1;4;1;4;P
19;1;3;7;6;6;3;1;2;1;2;2;2;4;2;2;P
20;1;1;3;3;5;4;1;1;1;1;1;1;4;1;5;P
21;1;6;6;7;7;5;1;3;1;1;1;3;4;1;5;P
22;2;7;7;6;7;1;1;1;1;1;1;1;4;1;7;P
23;1;4;4;4;7;1;1;1;1;1;1;1;4;1;3;P
24;1;1;1;1;1;;6;1;1;1;1;1;6;1;6;P
25;1;2;5;4;4;5;3;2;5;3;2;2;6;1;3;P
26;2;2;4;4;3;1;7;4;2;3;4;6;6;2;5;P
27;;4;4;5;7;5;1;1;1;0;0;0;5;1;3;P
28;1;3;3;1;3;4;1;3;1;2;2;3;5;1;4;P
29;2;2;2;3;3;6;1;2;1;1;1;2;5;2;6;P
30;2;1;1;1;1;7;7;7;1;1;1;1;5;2;3;P
31;;3;1;1;5;7;1;1;1;1;1;3;5;1;6;P
32;1;4;4;6;5;7;1;1;1;2;2;6;5;1;6;P
33;1;4;3;5;2;1;1;4;3;3;5;3;10;2;6;P
34;3;1;1;1;1;1;1;4;3;1;1;3;7;1;7;P
35;2;2;1;5;4;4;1;5;6;2;2;2;8;1;4;P
36;2;1;1;3;4;2;5;5;7;2;3;1;8;2;1;P
37;1;1;4;4;1;3;6;4;1;3;3;5;;1;5;P
38;1;1;3;3;2;5;6;4;1;4;4;6;;2;5;P
39;;1;1;1;1;7;7;1;1;1;1;1;;;;P
40;2;0;0;7;6;7;1;1;1;1;2;1;3;1;5;P
41;;1;1;0;1;1;1;1;1;1;1;1;3;1;1;P
42;2;2;2;6;6;6;1;2;2;0;0;0;3;2;5;P
43;1;1;4;1;2;6;4;2;1;1;1;1;5;1;1;P
44;2;1;1;7;1;7;5;1;1;1;1;1;5;1;5;P
45;1;2;2;7;4;7;1;3;3;2;2;2;5;2;6;P
46;1;1;1;7;4;7;5;4;1;1;1;4;5;1;6;P
47;;1;1;4;5;6;5;6;3;0;0;5;5;2;7;P
48;1;0;0;4;2;0;;;;1;0;0;5;1;7;P
49;2;4;4;0;0;0;2;2;;7;4;4;5;1;;P
50;2;3;3;5;6;6;4;0;1;0;0;0;5;1;5;P
51;1;2;2;3;3;4;0;6;6;3;3;2;6;2;5;P
52;;1;1;1;1;3;5;1;1;1;1;1;6;;;P
53;1;1;2;4;2;4;6;6;4;4;4;6;6;2;6;P
54;2;;;;;;3;;;;;;6;2;7;P
55;;4;5;7;5;1;1;4;1;4;4;4;3;2;5;P
56;1;;0;0;;;;;;;;;3;1;5;P
57;2;4;4;6;5;5;2;4;1;4;4;5;3;2;5;P
58;1;0;0;4;4;4;1;1;4;0;0;0;3;1;6;P
59;2;3;6;7;5;1;1;2;1;1;1;4;3;2;2;P
60;;4;;6;1;1;1;1;1;1;1;1;3;2;5;P
61;1;4;4;6;7;1;1;1;1;0;0;4;3;2;3;P
62;2;5;5;6;4;2;3;3;1;1;5;3;3;;2;P
63;1;4;4;7;4;7;1;;1;4;4;4;3;2;2;P
