Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;2;7;1;4;1;4;7;3;1;4;3;7;6;2;4;P
2;2;6;7;7;7;1;1;3;1;0;0;0;3;1;4;P
3;1;1;4;4;5;7;1;2;1;1;1;4;5;1;3;P
4;1;0;4;5;7;7;1;1;1;2;1;7;5;1;2;P
5;2;0;0;5;5;5;2;0;2;0;0;3;5;1;1;P
6;1;2;2;3;5;6;2;2;1;2;2;5;5;2;2;P
7;1;5;5;5;7;3;1;1;1;1;1;5;4;1;4;P
8;1;1;1;7;3;4;1;1;1;1;4;1;3;1;4;P
9;1;7;7;7;4;1;1;2;1;0;1;5;3;2;2;P
10;1;1;1;1;1;1;7;4;4;1;1;4;6;1;4;P
11;2;5;4;6;6;5;1;1;1;4;3;3;5;1;4;P
12;;3;3;7;7;4;1;1;1;4;4;4;4;2;1;P
13;1;0;7;7;7;1;1;1;1;1;1;1;3;1;2;P
14;1;1;1;1;1;1;1;1;1;1;1;1;3;2;5;P
15;2;0;5;5;5;6;3;0;2;3;0;2;5;2;3;P
16;1;1;1;2;3;1;3;1;5;2;1;3;;2;5;P
17;1;1;1;1;7;1;1;1;1;1;1;1;;1;7;P
18;1;1;1;1;1;1;1;1;1;1;1;1;;1;2;P
19;2;3;1;4;7;6;1;1;1;2;1;1;4;1;6;P
20;2;3;1;3;1;1;1;4;3;5;5;5;7;1;6;P
21;2;7;7;7;1;1;1;7;7;7;7;7;8;2;6;P
22;2;5;5;4;5;4;1;2;1;1;1;3;4;2;4;P
23;1;0;0;3;0;4;4;0;1;0;0;0;6;1;3;P
24;1;0;0;0;0;0;0;0;0;0;0;0;;1;3;P
25;2;0;3;5;1;1;1;0;1;0;0;3;3;2;2;P
26;1;1;1;4;2;1;2;7;4;3;2;;7;2;4;P
27;1;7;0;3;6;1;1;1;1;1;1;0;4;1;1;P
28;1;3;3;7;3;3;1;3;1;3;3;5;3;2;4;P
29;1;1;1;1;1;1;1;1;7;1;7;1;10;1;5;P
30;1;0;0;0;0;0;0;0;0;0;0;0;;1;1;P
31;1;0;0;5;5;6;1;2;1;2;0;0;5;1;3;P
32;1;0;6;6;4;4;2;4;2;3;0;5;4;2;4;P
33;2;3;3;4;6;6;1;2;1;1;1;5;5;2;4;P
34;2;0;7;2;6;7;1;4;1;0;4;7;5;1;6;P
35;;0;0;6;4;5;1;0;2;0;0;0;3;2;3;P
36;2;1;1;7;1;1;1;1;1;1;1;1;3;1;5;P
37;2;7;7;1;1;1;1;1;1;1;1;1;;1;1;P
38;2;3;5;4;5;4;2;2;2;5;5;7;;2;3;P
39;1;0;0;2;2;7;4;1;1;1;1;0;5;2;2;P
40;2;3;3;6;2;0;2;4;5;3;2;7;11;2;2;P
41;2;3;0;2;3;4;4;4;1;3;3;0;5;1;3;P
42;1;4;4;6;4;4;4;4;6;4;4;4;8;2;3;P
43;1;0;0;4;6;7;1;1;1;0;0;0;5;2;1;P
44;2;0;0;0;0;6;3;0;1;5;0;0;;1;6;P
45;2;0;6;7;3;7;1;2;1;0;0;1;5;1;1;P
46;1;3;3;6;7;6;1;3;1;1;2;2;4;1;1;P
47;2;4;4;5;6;6;1;4;1;3;0;2;;1;4;P
48;1;3;3;7;4;1;1;1;1;1;1;4;3;2;2;P
49;2;5;6;7;3;5;1;3;1;4;4;7;;2;5;P
50;1;5;6;7;7;4;1;3;1;0;2;4;4;1;2;P
51;2;4;5;6;6;4;1;2;1;3;3;4;4;2;2;P
52;1;4;5;6;6;6;1;2;1;3;3;3;5;2;6;P
53;1;4;4;3;5;3;2;1;1;3;3;2;;2;3;P
54;1;1;1;1;1;1;1;1;1;1;1;7;11;1;7;P
55;2;2;2;1;3;6;5;5;1;3;3;2;5;1;4;P
56;1;0;0;6;3;3;1;0;1;0;0;0;3;2;3;P
57;1;1;1;1;1;0;1;7;1;1;1;1;6;2;5;P
58;1;4;4;4;4;1;7;4;4;4;4;4;6;2;7;P
59;1;6;3;4;1;2;2;3;4;5;4;2;3;1;5;P
60;1;0;4;4;2;5;2;0;1;0;0;0;5;1;3;P
61;2;4;4;5;5;6;5;4;3;4;4;5;;2;5;P
62;2;5;5;4;3;5;1;5;1;2;3;4;5;1;1;P
63;1;4;4;5;6;4;1;1;1;1;4;5;;1;5;P
64;1;4;4;4;6;3;1;2;1;3;2;4;4;2;4;P
65;2;5;5;7;7;2;1;7;7;5;4;4;;2;6;P
66;1;6;6;6;3;3;1;1;1;1;2;3;3;2;3;P
67;1;1;1;0;0;0;1;7;7;7;0;0;;1;6;P
68;;4;5;7;4;1;1;3;5;3;2;2;3;1;3;P
69;1;3;3;7;5;1;1;1;1;1;1;1;3;2;3;P
70;1;0;5;5;5;4;1;0;1;0;0;0;5;1;1;P
71;;4;4;4;6;1;5;1;1;0;1;1;4;2;7;P
72;1;0;5;6;2;2;1;4;2;1;0;0;3;1;3;P
73;2;1;1;4;1;7;4;1;1;1;1;1;;1;2;P
74;1;5;5;6;6;2;1;3;1;4;4;4;3;2;2;P
