Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;2;;;7;7;4;;;;;;;5;1;6;P
2;2;;;7;;;;;1;;;7;3;1;5;P
3;2;1;1;1;4;4;1;4;1;1;1;4;5;2;3;P
4;2;4;1;1;2;5;5;1;1;1;2;2;6;1;1;P
5;;0;0;0;0;0;0;0;0;0;0;0;6;1;4;P
6;;1;1;1;;;5;1;1;1;1;1;6;1;5;P
7;2;4;4;5;4;5;3;5;1;4;4;4;3;2;1;P
8;2;4;4;4;0;4;4;4;4;4;4;4;4;1;5;P
9;;0;0;0;0;0;1;0;4;0;0;0;8;1;4;P
10;2;0;0;0;0;;;0;;0;0;0;3;1;2;P
11;2;;;;7;;;;1;;;;4;2;5;P
12;2;1;1;1;1;1;1;1;1;1;1;1;;2;7;P
13;2;2;1;5;4;5;2;5;1;3;2;2;7;1;4;P
14;2;3;3;4;2;4;2;2;1;2;2;2;;1;3;P
15;2;0;5;6;6;3;1;6;1;5;4;3;;1;4;P
16;2;;;;;;;;;;;;3;2;7;P
17;;;;7;;;;;;;;;3;1;;P
18;2;4;6;3;7;4;1;3;1;1;5;5;4;1;5;P
19;2;0;0;1;1;1;1;1;7;1;1;1;8;2;2;P
20;2;5;5;5;5;5;1;0;1;0;0;4;;1;2;P
21;1;;;;;;1;;1;;;;5;1;6;P
22;2;0;0;0;0;0;0;0;0;0;0;0;;1;4;P
23;2;5;5;6;5;3;1;1;1;1;1;1;3;1;2;P
24;2;1;1;1;2;5;5;3;1;1;1;1;5;2;5;P
25;2;0;0;0;0;0;0;0;0;0;0;0;7;1;6;P
26;2;0;0;7;0;7;1;7;1;0;0;0;5;1;5;P
27;2;0;0;0;0;0;0;0;0;0;0;0;;1;5;P
28;2;0;7;0;0;;1;3;1;0;0;0;5;1;1;P
29;2;0;1;3;5;5;3;3;1;0;0;0;5;1;1;P
30;2;7;7;0;0;1;1;1;1;1;1;1;3;1;1;P
31;2;;;0;;;;;;;;;11;2;4;P
32;2;;;;;;;;;;;;11;2;6;P
33;2;1;1;3;2;5;6;6;2;2;2;5;7;2;4;P
34;2;4;5;2;6;5;1;6;1;4;4;4;4;1;1;P
35;2;0;0;1;1;;1;2;1;2;0;0;1;1;3;P
36;2;1;1;1;1;1;1;1;;1;1;1;8;;3;P
37;2;1;1;5;7;4;2;4;7;1;1;5;4;1;3;P
38;2;0;5;6;6;1;1;3;1;0;0;1;;1;4;P
39;2;3;4;6;3;4;2;3;1;2;2;2;3;2;2;P
40;2;0;6;0;6;1;1;5;1;0;0;0;3;2;2;P
41;2;1;1;4;5;4;6;3;3;1;1;1;6;2;4;P
42;2;2;2;2;2;7;7;2;2;2;2;2;;2;3;P
43;2;0;3;6;4;1;1;0;1;0;0;2;3;1;1;P
44;2;1;1;3;7;5;4;7;2;2;5;6;4;2;3;P
45;;;;;;6;;;;;;;6;1;6;P
46;2;1;7;4;1;1;1;7;4;1;0;7;7;2;3;P
47;2;3;3;5;4;5;4;4;1;1;1;3;5;2;2;P
48;2;0;0;0;0;5;0;0;1;0;0;0;5;1;2;P
49;2;1;1;1;1;2;7;1;1;1;1;1;6;2;3;P
50;2;4;3;3;6;5;1;1;1;2;2;2;5;1;3;P
51;2;5;5;7;6;5;1;3;1;5;4;3;3;1;1;P
52;2;0;0;0;0;0;;0;5;0;0;0;;1;3;P
53;;1;1;1;1;7;7;1;1;1;1;1;6;2;5;P
