Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;3;;;;;;;7;;;;;6;1;6;P
2;4;5;7;7;6;1;1;3;1;4;4;4;3;2;1;P
3;4;2;3;5;3;3;3;3;2;1;1;1;1;1;1;P
4;4;0;;0;0;0;0;0;0;0;0;0;10;1;5;P
5;3;0;0;7;0;4;0;0;1;0;0;0;3;1;1;P
6;;0;0;0;0;0;0;0;0;0;0;0;3;1;6;P
7;2;;;4;4;4;3;;5;;;;8;2;2;P
8;1;1;2;1;1;1;1;1;1;1;1;2;;1;2;P
9;4;0;0;0;0;0;0;0;0;0;0;0;;1;2;P
10;4;6;6;5;6;2;1;1;1;0;0;5;4;2;2;P
11;2;0;0;0;0;0;1;1;1;0;0;0;3;1;5;P
12;4;0;2;1;3;2;3;5;2;0;5;0;7;1;2;P
13;3;1;3;3;3;6;1;1;1;5;1;6;5;1;3;P
14;2;1;1;4;4;6;6;2;4;1;1;1;6;1;2;P
15;2;1;1;1;2;6;2;5;4;2;1;3;5;2;4;P
16;4;6;6;5;5;6;4;3;1;1;1;1;5;2;5;P
17;3;2;2;3;;3;;3;;3;3;2;5;1;4;P
18;2;0;0;0;0;0;0;0;0;0;0;0;5;1;5;P
19;3;0;0;7;7;1;1;;;1;0;0;3;1;6;P
20;4;1;1;1;1;3;4;5;5;1;2;4;8;2;1;P
21;4;1;1;1;1;1;1;1;1;1;1;1;8;2;4;P
22;4;0;0;3;2;3;1;3;1;1;1;1;3;1;5;P
23;4;0;0;0;;7;1;1;1;1;1;1;5;1;1;P
24;2;1;1;1;1;5;1;2;1;1;1;;5;1;6;P
25;3;0;4;6;4;6;1;4;1;1;4;0;3;2;1;P
26;4;2;2;2;2;2;3;2;1;;;;6;2;3;P
27;4;4;6;7;6;6;1;1;1;3;3;3;3;2;1;P
28;3;1;3;3;2;2;1;1;1;1;1;1;2;2;4;P
29;4;1;1;0;1;1;1;1;1;1;7;1;3;1;1;P
30;3;2;2;3;3;3;3;4;3;3;3;3;8;1;6;P
31;3;0;0;0;0;0;0;0;0;0;0;0;;1;3;P
32;;0;0;0;0;0;0;0;0;0;0;0;4;1;6;P
33;2;;;0;;;0;;;;0;;3;1;2;P
34;;0;0;0;0;0;0;7;0;7;7;7;7;1;4;P
35;4;1;1;2;2;5;2;5;3;2;4;1;7;2;2;P
36;3;0;0;0;0;0;0;0;0;0;0;0;5;2;4;P
37;4;0;2;3;2;3;1;2;2;0;2;1;;2;2;P
38;4;1;1;6;7;6;1;1;1;1;1;1;4;1;3;P
39;1;0;0;0;0;0;0;0;1;0;0;0;;1;7;P
40;4;2;2;6;6;1;1;1;1;1;1;1;3;1;2;P
41;4;1;1;1;1;1;1;6;7;1;1;1;8;2;2;P
42;4;2;1;2;2;4;5;1;1;1;1;1;;2;2;P
43;3;3;7;7;5;1;1;1;1;2;2;3;3;2;6;P
44;3;1;4;6;2;1;1;1;4;1;1;1;3;2;4;P
45;4;0;0;0;0;0;0;0;0;0;0;0;6;1;5;P
46;3;;;;7;;;;1;;;;3;2;3;P
47;2;7;0;7;0;0;0;0;0;0;0;0;3;1;7;P
48;3;2;1;2;3;6;6;3;1;1;1;1;6;1;7;P
49;1;5;5;6;3;4;2;1;1;0;0;0;3;1;2;P
50;4;1;2;4;4;6;1;2;1;2;2;4;5;2;7;P
51;4;1;1;4;4;4;7;1;1;1;1;1;6;1;3;P
52;2;1;1;4;3;6;5;7;1;1;1;1;7;1;4;P
53;2;0;4;4;6;6;3;3;1;1;0;7;5;1;6;P
54;3;3;3;4;2;5;4;4;1;1;0;0;5;2;2;P
55;4;3;4;5;2;6;4;6;3;2;2;2;5;2;1;P
56;4;4;4;4;6;6;1;5;2;4;4;4;4;2;2;P
57;4;1;1;3;;6;1;1;1;1;1;3;5;1;5;P
58;4;1;1;1;1;1;7;1;1;1;1;1;6;1;3;P
59;3;3;3;4;5;4;1;6;6;3;3;5;8;2;2;P
60;4;;;7;;;1;;1;;;;3;1;5;P
61;2;4;2;4;4;5;5;2;5;2;5;1;8;1;2;P
62;3;1;0;0;1;7;7;1;1;0;0;0;5;2;1;P
63;4;1;4;1;3;1;1;4;7;0;0;0;8;1;1;P
64;4;5;0;0;3;5;2;0;2;0;0;4;;2;2;P
65;4;;;6;;7;;;;5;;;5;2;5;P
66;4;1;1;1;2;6;6;1;1;1;1;1;5;1;2;P
67;4;5;5;7;2;7;3;4;4;4;4;4;3;1;4;P
68;4;4;1;4;2;2;1;2;6;6;6;4;8;1;4;P
69;4;1;1;2;2;5;5;4;3;1;1;1;5;1;3;P
70;3;3;5;7;7;7;2;2;1;4;3;3;3;2;5;P
71;3;1;1;1;1;1;1;1;7;1;1;1;8;1;2;P
